Feature,Importance
int_rate,0.12637662005857353
dti,0.12531630593477353
revol_bal,0.11704590416377489
revol_util,0.11403035216810178
installment,0.10460095444902509
annual_inc,0.10233657706226663
total_acc,0.08665959192694422
loan_amnt,0.07769662286626428
open_acc,0.07053847000611055
mort_acc,0.035275071798380325
